,acc_name,clean_name
736,Clostridiisalibacter_paucivorans_DSM,clostridiisalibacter_paucivorans_dsm
737,Pseudoflavonifractor_sp_An85,pseudoflavonifractor_sp_an85
738,Eubacterium_callanderi,eubacterium_callanderi
739,Clostridium_sp_DSM,clostridium_sp_dsm
740,Anaerococcus_urinomassiliensis,anaerococcus_urinomassiliensis
741,Lachnospiraceae_bacterium_JC7,lachnospiraceae_bacterium_jc7
742,"Oscillibacter_ruminantium_GH1,",oscillibacter_ruminantium_gh1
743,Finegoldia_magna_ATCC,finegoldia_magna_atcc
744,Paenibacillus_amylolyticus_isolate,paenibacillus_amylolyticus_isolate
745,"Clostridiales_bacterium_mt11,",clostridiales_bacterium_mt11
746,Paenibacillus_durus,paenibacillus_durus
747,Paenibacillus_kribbensis,paenibacillus_kribbensis
748,Lihuaxuella_thermophila,lihuaxuella_thermophila
749,Anaerotruncus_colihominis_DSM,anaerotruncus_colihominis_dsm
750,Lagierella_massiliensis,lagierella_massiliensis
751,Blautia_massiliensis,blautia_massiliensis
752,Paenibacillus_sp_LC231,paenibacillus_sp_lc231
753,Alicyclobacillus_macrosporangiidus_CPP55,alicyclobacillus_macrosporangiidus_cpp55
754,Paenibacillus_sp_CAA11,paenibacillus_sp_caa11
755,Blautia_sp_Marseille-P3087,blautia_sp_marseille-p3087
756,Tepidibacillus_decaturensis,tepidibacillus_decaturensis
757,"Lachnospiraceae_bacterium_C7,",lachnospiraceae_bacterium_c7
758,Alicyclobacillus_vulcanalis,alicyclobacillus_vulcanalis
759,Gemmiger_sp_An194,gemmiger_sp_an194
760,Butyrivibrio_sp_NC2002,butyrivibrio_sp_nc2002
761,Brevibacillus_massiliensis,brevibacillus_massiliensis
762,Halobacteroides_halobius_DSM,halobacteroides_halobius_dsm
763,Hungateiclostridium_straminisolvens_JCM,hungateiclostridium_straminisolvens_jcm
764,Paenibacillus_yonginensis,paenibacillus_yonginensis
765,Anaerococcus_senegalensis_JC48,anaerococcus_senegalensis_jc48
766,Butyrivibrio_crossotus_DSM,butyrivibrio_crossotus_dsm
767,pectinophilus_ATCC_43243,pectinophilus_atcc_43243
768,Marvinbryantia_formatexigens_DSM,marvinbryantia_formatexigens_dsm
769,Veillonella_parvula,veillonella_parvula
770,Paenibacillus_phocaensis,paenibacillus_phocaensis
771,Veillonella_infantium,veillonella_infantium
772,Desulfosporosinus_sp_FKB,desulfosporosinus_sp_fkb
773,Ruminococcus_callidus_ATCC,ruminococcus_callidus_atcc
774,Halarsenatibacter_silvermanii,halarsenatibacter_silvermanii
775,Flavonifractor_sp_An306,flavonifractor_sp_an306
776,Succinispira_mobilis_DSM,succinispira_mobilis_dsm
777,Paenibacillus_sp_YN15,paenibacillus_sp_yn15
778,Ruminiclostridium_papyrosolvens_DSM,ruminiclostridium_papyrosolvens_dsm
779,Megasphaera_elsdenii_DSM,megasphaera_elsdenii_dsm
780,"Blautia_sp_Marseille-P3201T,",blautia_sp_marseille-p3201t
781,Acidaminococcus_intestini_DSM,acidaminococcus_intestini_dsm
782,Lachnoclostridium_sp_An76,lachnoclostridium_sp_an76
783,Halanaerobium_saccharolyticum_subsp.,halanaerobium_saccharolyticum_subsp.
784,Butyrivibrio_proteoclasticus_P6B7,butyrivibrio_proteoclasticus_p6b7
