,SUID,shared name,name,selected,EdgeCount,Indegree,Outdegree,activity,canonicalName,geneName,locus_tag.d6,sporulation,operon,Goe3_log2_fold_change,pDR110_log2_fold_change,sigF_log2_fold_change,sigG_log2_fold_change,SP10_log2_fold_change,ELDg168_log2_fold_change,ELDg169_log2_fold_change,infomap,betweenness,pagerank,novelProportion,priorProportion,0_GLay_cluster,node.shape,node.label
716,36266,BSU32660,BSU32660,False,1,1,0,target,BSU32660,yurT,A8O17_RS15865,0,None,0.0,0.0,0.0,0.0,0.0,-0.8896822233696771,0.0,4,0.0,0.0003750637117346279,,,,,
717,36265,BSU02270,BSU02270,False,2,2,0,target,BSU02270,pssA,A8O17_RS01305,0,ybfK→psd,0.0,0.0,0.964272024844176,0.0,0.0,0.0,2.58430859793698,2,0.0,0.00034537491333221174,,,,,
718,36264,BSU00130,BSU00130,False,2,2,0,target,BSU00130,serS,A8O17_RS00090,0,pdxS→serS,0.0,0.0,1.9160809468162,0.0,0.0,0.0,-0.9899129657371201,4,0.0,0.0003392526060649255,,,,,
719,36263,BSU12229,BSU12229,False,1,1,0,target,BSU12229,yjzI,A8O17_RS06530,0,yjzI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.00035060458988093925,,,,,
720,36262,BSU24600,BSU24600,False,2,2,0,target,BSU24600,sinI,A8O17_RS11865,1,sinI→sinR,0.0,0.0,0.0,0.0,0.0,0.0,1.60475130248098,4,0.0,0.0003767911148655799,,,,,
721,36261,BSU06660,BSU06660,False,2,2,0,target,BSU06660,opuE,A8O17_RS03545,0,opuE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0003382388943043641,,,,,
722,36260,BSU18210,BSU18210,False,1,1,0,target,BSU18210,yngE,A8O17_RS09420,1,yngJ→yngE,0.0,0.0,3.10093903510743,0.0,0.0,0.0,2.98476906984561,1,0.0,0.0003215442018957648,,,,,
723,36259,BSU25730,BSU25730,False,1,1,0,target,BSU25730,yqeC,A8O17_RS12455,1,yqeC,0.0,0.0,8.12554725407609,6.415918737,0.0,0.0,5.838124294723881,1,0.0,0.0003216467513135777,,,,,
724,36258,BSU35340,BSU35340,False,1,1,0,target,BSU35340,fliD,A8O17_RS17270,0,yvyC→fliT,0.0,0.0,-4.81603697704393,-3.365764052,0.0,0.0,-5.550975156293759,2,0.0,0.0003234438768110229,,,,,
725,36257,BSU12220,BSU12220,False,1,1,0,target,BSU12220,yjiC,A8O17_RS06525,0,yjiB→yjiC,0.0,0.0,-3.10951954184317,0.0,0.0,-0.902558080434514,-1.98311248978137,6,0.0,0.00033106273670371916,,,,,
726,36256,BSU39520,BSU39520,False,2,2,0,target,BSU39520,yxeK,A8O17_RS19455,0,yxeK→yxeQ,0.0,0.0,0.0,0.0,0.0,0.0,-3.45845032904874,7,0.0,0.000342124991979944,,,,,
